Date,Predicted_Crime_Count,Lower_Bound,Upper_Bound,Trend,Trend_Lower,Trend_Upper,YEAR,MONTH,Forecast_Range,Volatility_Index,Forecast_Threat_Level,Forecast_Risk_Score
2001-01-01,3490.56,3207.14,3776.89,3638.97,3638.97,3638.97,2001,1,569.75,0.16,HIGH,84.24
2001-02-01,3156.69,2844.61,3458.69,3613.21,3613.21,3613.21,2001,2,614.07,0.19,MEDIUM,76.18
2001-03-01,3550.83,3248.44,3825.61,3589.94,3589.94,3589.94,2001,3,577.16,0.16,HIGH,85.7
2001-04-01,3439.79,3144.26,3705.81,3564.18,3564.18,3564.18,2001,4,561.55,0.16,HIGH,83.02
2001-05-01,3541.68,3246.74,3850.73,3539.24,3539.24,3539.24,2001,5,603.98,0.17,HIGH,85.48
2001-06-01,3494.9,3191.79,3769.51,3513.47,3513.47,3513.47,2001,6,577.73,0.17,HIGH,84.35
2001-07-01,3509.52,3231.37,3810.23,3488.53,3488.53,3488.53,2001,7,578.86,0.16,HIGH,84.7
2001-08-01,3646.7,3355.39,3947.5,3462.76,3462.76,3462.76,2001,8,592.11,0.16,HIGH,88.01
2001-09-01,3542.54,3226.75,3821.1,3436.99,3436.99,3436.99,2001,9,594.36,0.17,HIGH,85.5
2001-10-01,3536.12,3245.65,3799.32,3412.05,3412.05,3412.05,2001,10,553.67,0.16,HIGH,85.34
2001-11-01,3370.61,3067.76,3670.37,3386.28,3386.28,3386.28,2001,11,602.61,0.18,HIGH,81.35
2001-12-01,3211.22,2929.17,3483.3,3361.35,3361.35,3361.35,2001,12,554.13,0.17,MEDIUM,77.5
2002-01-01,3204.44,2894.81,3491.23,3335.58,3335.58,3335.58,2002,1,596.42,0.19,MEDIUM,77.34
2002-02-01,2926.5,2634.22,3223.64,3309.81,3309.81,3309.81,2002,2,589.42,0.2,MEDIUM,70.63
2002-03-01,3174.29,2874.79,3479.93,3286.53,3286.53,3286.53,2002,3,605.15,0.19,MEDIUM,76.61
2002-04-01,3086.73,2809.46,3399.33,3260.76,3260.76,3260.76,2002,4,589.87,0.19,MEDIUM,74.5
2002-05-01,3227.86,2920.71,3532.25,3235.82,3235.82,3235.82,2002,5,611.54,0.19,MEDIUM,77.9
2002-06-01,3252.05,2948.96,3543.55,3210.05,3210.05,3210.05,2002,6,594.59,0.18,MEDIUM,78.49
2002-07-01,3257.99,2984.44,3561.72,3185.11,3185.11,3185.11,2002,7,577.28,0.18,MEDIUM,78.63
2002-08-01,3329.63,3037.0,3611.97,3159.34,3159.34,3159.34,2002,8,574.97,0.17,HIGH,80.36
2002-09-01,3178.32,2872.5,3442.06,3133.57,3133.57,3133.57,2002,9,569.57,0.18,MEDIUM,76.71
2002-10-01,3236.6,2953.32,3528.81,3108.63,3108.63,3108.63,2002,10,575.49,0.18,MEDIUM,78.11
2002-11-01,3040.12,2760.44,3310.71,3082.86,3082.86,3082.86,2002,11,550.27,0.18,MEDIUM,73.37
2002-12-01,2939.41,2644.89,3236.19,3057.92,3057.92,3057.92,2002,12,591.3,0.2,MEDIUM,70.94
2003-01-01,2918.64,2624.4,3193.26,3032.15,3032.15,3032.15,2003,1,568.86,0.19,MEDIUM,70.44
2003-02-01,2695.04,2414.84,2980.26,3006.38,3006.38,3006.38,2003,2,565.42,0.21,MEDIUM,65.04
2003-03-01,2796.19,2506.45,3106.33,2983.11,2983.11,2983.11,2003,3,599.87,0.21,MEDIUM,67.48
2003-04-01,2734.66,2453.66,3016.5,2957.34,2957.34,2957.34,2003,4,562.84,0.21,MEDIUM,66.0
2003-05-01,2916.17,2634.31,3211.39,2932.4,2932.4,2932.4,2003,5,577.07,0.2,MEDIUM,70.38
2003-06-01,3010.37,2719.1,3307.7,2906.63,2906.63,2906.63,2003,6,588.6,0.2,MEDIUM,72.65
2003-07-01,3005.08,2700.61,3292.47,2881.69,2881.69,2881.69,2003,7,591.85,0.2,MEDIUM,72.53
2003-08-01,3010.47,2720.91,3291.35,2855.92,2855.92,2855.92,2003,8,570.44,0.19,MEDIUM,72.66
2003-09-01,2813.83,2510.54,3126.39,2830.15,2830.15,2830.15,2003,9,615.85,0.22,MEDIUM,67.91
2003-10-01,2940.97,2661.6,3210.07,2808.46,2808.46,2808.46,2003,10,548.47,0.19,MEDIUM,70.98
2003-11-01,2717.19,2450.5,3010.02,2786.05,2786.05,2786.05,2003,11,559.52,0.21,MEDIUM,65.58
2003-12-01,2678.45,2371.77,2965.76,2764.36,2764.36,2764.36,2003,12,593.99,0.22,LOW,64.64
2004-01-01,2646.36,2369.32,2936.28,2741.94,2741.94,2741.94,2004,1,566.96,0.21,LOW,63.87
2004-02-01,2478.8,2174.05,2763.05,2719.53,2719.53,2719.53,2004,2,589.01,0.24,LOW,59.82
2004-03-01,2733.78,2446.05,3019.93,2701.41,2701.41,2701.41,2004,3,573.88,0.21,MEDIUM,65.98
2004-04-01,2608.2,2321.62,2906.34,2682.04,2682.04,2682.04,2004,4,584.72,0.22,LOW,62.95
2004-05-01,2678.26,2384.25,2967.61,2663.3,2663.3,2663.3,2004,5,583.36,0.22,LOW,64.64
2004-06-01,2566.03,2293.05,2848.73,2643.93,2643.93,2643.93,2004,6,555.69,0.22,LOW,61.93
2004-07-01,2592.99,2311.11,2868.58,2625.19,2625.19,2625.19,2004,7,557.47,0.21,LOW,62.58
2004-08-01,2802.13,2515.97,3114.33,2606.65,2606.65,2606.65,2004,8,598.36,0.21,MEDIUM,67.63
2004-09-01,2754.11,2476.11,3051.64,2588.12,2588.12,2588.12,2004,9,575.52,0.21,MEDIUM,66.47
2004-10-01,2690.99,2413.42,2981.15,2570.19,2570.19,2570.19,2004,10,567.73,0.21,MEDIUM,64.95
2004-11-01,2563.95,2262.43,2851.14,2551.66,2551.66,2551.66,2004,11,588.72,0.23,LOW,61.88
2004-12-01,2353.0,2073.76,2635.55,2533.72,2533.72,2533.72,2004,12,561.79,0.24,LOW,56.79
2005-01-01,2366.8,2069.77,2650.27,2515.21,2515.21,2515.21,2005,1,580.5,0.25,LOW,57.12
2005-02-01,2040.18,1758.68,2319.25,2496.7,2496.7,2496.7,2005,2,560.57,0.27,LOW,49.24
2005-03-01,2440.87,2161.56,2724.83,2479.98,2479.98,2479.98,2005,3,563.27,0.23,LOW,58.91
2005-04-01,2337.08,2048.21,2612.27,2461.47,2461.47,2461.47,2005,4,564.06,0.24,LOW,56.4
2005-05-01,2445.99,2166.12,2738.12,2443.55,2443.55,2443.55,2005,5,572.0,0.23,LOW,59.03
2005-06-01,2407.08,2121.71,2672.37,2425.65,2425.65,2425.65,2005,6,550.66,0.23,LOW,58.09
2005-07-01,2429.31,2137.68,2717.31,2408.32,2408.32,2408.32,2005,7,579.63,0.24,LOW,58.63
2005-08-01,2574.36,2272.64,2852.17,2390.42,2390.42,2390.42,2005,8,579.53,0.23,LOW,62.13
2005-09-01,2478.06,2194.64,2745.39,2372.52,2372.52,2372.52,2005,9,550.75,0.22,LOW,59.81
2005-10-01,2481.01,2192.58,2779.53,2356.94,2356.94,2356.94,2005,10,586.95,0.24,LOW,59.88
2005-11-01,2325.17,2060.81,2615.16,2340.84,2340.84,2340.84,2005,11,554.35,0.24,LOW,56.12
2005-12-01,2175.14,1882.56,2478.54,2325.27,2325.27,2325.27,2005,12,595.98,0.27,LOW,52.5
2006-01-01,2178.03,1897.47,2473.71,2309.17,2309.17,2309.17,2006,1,576.24,0.26,LOW,52.57
2006-02-01,1909.77,1600.67,2184.46,2293.08,2293.08,2293.08,2006,2,583.79,0.31,LOW,46.09
2006-03-01,2169.15,1876.29,2447.86,2281.39,2281.39,2281.39,2006,3,571.57,0.26,LOW,52.35
2006-04-01,2094.42,1816.06,2377.14,2268.45,2268.45,2268.45,2006,4,561.08,0.27,LOW,50.55
2006-05-01,2247.97,1956.06,2528.83,2255.93,2255.93,2255.93,2006,5,572.77,0.25,LOW,54.25
2006-06-01,2285.0,1987.26,2558.06,2242.99,2242.99,2242.99,2006,6,570.8,0.25,LOW,55.15
2006-07-01,2303.35,2033.03,2615.5,2230.47,2230.47,2230.47,2006,7,582.47,0.25,LOW,55.59
2006-08-01,2390.95,2088.77,2657.77,2220.66,2220.66,2220.66,2006,8,569.0,0.24,LOW,57.7
2006-09-01,2255.6,1974.72,2525.7,2210.84,2210.84,2210.84,2006,9,550.98,0.24,LOW,54.44
2006-10-01,2329.31,2052.23,2612.35,2201.35,2201.35,2201.35,2006,10,560.12,0.24,LOW,56.22
2006-11-01,2148.79,1842.87,2426.82,2191.53,2191.53,2191.53,2006,11,583.96,0.27,LOW,51.86
2006-12-01,2063.53,1780.01,2340.33,2182.04,2182.04,2182.04,2006,12,560.32,0.27,LOW,49.8
2007-01-01,2060.8,1755.86,2355.65,2174.32,2174.32,2174.32,2007,1,599.79,0.29,LOW,49.74
2007-02-01,1855.25,1559.13,2129.37,2166.6,2166.6,2166.6,2007,2,570.24,0.31,LOW,44.78
2007-03-01,1972.71,1689.52,2266.69,2159.62,2159.62,2159.62,2007,3,577.17,0.29,LOW,47.61
2007-04-01,1929.22,1637.64,2207.92,2151.9,2151.9,2151.9,2007,4,570.28,0.3,LOW,46.56
2007-05-01,2128.2,1853.06,2404.19,2144.43,2144.43,2144.43,2007,5,551.13,0.26,LOW,51.36
2007-06-01,2242.49,1954.94,2542.48,2138.75,2138.75,2138.75,2007,6,587.54,0.26,LOW,54.12
2007-07-01,2256.65,1965.49,2526.58,2133.26,2133.26,2133.26,2007,7,561.09,0.25,LOW,54.46
2007-08-01,2282.14,2000.84,2572.5,2127.58,2127.58,2127.58,2007,8,571.66,0.25,LOW,55.08
2007-09-01,2105.58,1797.92,2399.21,2121.9,2121.9,2121.9,2007,9,601.29,0.29,LOW,50.82
2007-10-01,2248.93,1971.33,2542.33,2116.41,2116.41,2116.41,2007,10,570.99,0.25,LOW,54.28
2007-11-01,2046.47,1752.86,2339.12,2115.33,2115.33,2115.33,2007,11,586.26,0.29,LOW,49.39
2007-12-01,2028.37,1737.08,2300.75,2114.28,2114.28,2114.28,2007,12,563.67,0.28,LOW,48.95
2008-01-01,2017.61,1722.93,2318.16,2113.19,2113.19,2113.19,2008,1,595.23,0.3,LOW,48.69
2008-02-01,1871.38,1592.06,2154.58,2112.11,2112.11,2112.11,2008,2,562.51,0.3,LOW,45.16
2008-03-01,2146.83,1852.99,2432.41,2114.45,2114.45,2114.45,2008,3,579.42,0.27,LOW,51.81
2008-04-01,2043.12,1770.13,2328.52,2116.96,2116.96,2116.96,2008,4,558.39,0.27,LOW,49.31
2008-05-01,2134.35,1831.09,2415.71,2119.39,2119.39,2119.39,2008,5,584.63,0.27,LOW,51.51
2008-06-01,2044.0,1748.36,2311.37,2121.9,2121.9,2121.9,2008,6,563.02,0.28,LOW,49.33
2008-07-01,2092.13,1792.06,2368.67,2124.32,2124.32,2124.32,2008,7,576.61,0.28,LOW,50.49
2008-08-01,2325.86,2038.94,2618.57,2130.38,2130.38,2130.38,2008,8,579.63,0.25,LOW,56.13
2008-09-01,2302.43,2030.78,2589.93,2136.45,2136.45,2136.45,2008,9,559.15,0.24,LOW,55.57
2008-10-01,2263.12,1974.91,2537.26,2142.31,2142.31,2142.31,2008,10,562.34,0.25,LOW,54.62
2008-11-01,2160.67,1855.99,2451.22,2148.38,2148.38,2148.38,2008,11,595.23,0.28,LOW,52.15
2008-12-01,1973.52,1683.3,2255.2,2154.24,2154.24,2154.24,2008,12,571.9,0.29,LOW,47.63
2009-01-01,2017.29,1738.59,2320.57,2165.7,2165.7,2165.7,2009,1,581.98,0.29,LOW,48.69
2009-02-01,1720.65,1431.03,2005.58,2177.17,2177.17,2177.17,2009,2,574.55,0.33,LOW,41.53
2009-03-01,2148.41,1853.31,2414.75,2187.52,2187.52,2187.52,2009,3,561.44,0.26,LOW,51.85
2009-04-01,2074.59,1798.08,2373.07,2198.98,2198.98,2198.98,2009,4,574.98,0.28,LOW,50.07
2009-05-01,2212.51,1919.14,2511.22,2210.07,2210.07,2210.07,2009,5,592.08,0.27,LOW,53.4
2009-06-01,2210.67,1922.51,2519.24,2229.24,2229.24,2229.24,2009,6,596.73,0.27,LOW,53.35
2009-07-01,2268.78,1989.31,2572.12,2247.79,2247.79,2247.79,2009,7,582.8,0.26,LOW,54.76
2009-08-01,2450.9,2173.97,2724.55,2266.96,2266.96,2266.96,2009,8,550.58,0.22,LOW,59.15
2009-09-01,2391.68,2127.93,2694.98,2286.13,2286.13,2286.13,2009,9,567.05,0.24,LOW,57.72
2009-10-01,2428.75,2132.29,2714.97,2304.68,2304.68,2304.68,2009,10,582.68,0.24,LOW,58.62
2009-11-01,2308.17,2022.83,2603.42,2323.85,2323.85,2323.85,2009,11,580.59,0.25,LOW,55.71
2009-12-01,2192.27,1896.07,2469.65,2342.4,2342.4,2342.4,2009,12,573.58,0.26,LOW,52.91
2010-01-01,2230.43,1952.19,2543.02,2361.57,2361.57,2361.57,2010,1,590.84,0.26,LOW,53.83
2010-02-01,1997.43,1712.17,2280.11,2380.74,2380.74,2380.74,2010,2,567.94,0.28,LOW,48.21
2010-03-01,2285.81,1994.14,2560.69,2398.05,2398.05,2398.05,2010,3,566.55,0.25,LOW,55.17
2010-04-01,2243.19,1962.0,2540.74,2417.22,2417.22,2417.22,2010,4,578.74,0.26,LOW,54.14
2010-05-01,2427.81,2121.77,2726.16,2435.77,2435.77,2435.77,2010,5,604.4,0.25,LOW,58.59
2010-06-01,2496.94,2184.82,2798.96,2454.94,2454.94,2454.94,2010,6,614.14,0.25,LOW,60.26
2010-07-01,2546.37,2241.02,2826.89,2473.49,2473.49,2473.49,2010,7,585.86,0.23,LOW,61.45
2010-08-01,2662.95,2375.3,2961.73,2492.66,2492.66,2492.66,2010,8,586.43,0.22,LOW,64.27
2010-09-01,2556.58,2264.44,2860.75,2511.83,2511.83,2511.83,2010,9,596.31,0.23,LOW,61.7
2010-10-01,2658.34,2367.56,2936.44,2530.38,2530.38,2530.38,2010,10,568.88,0.21,LOW,64.16
2010-11-01,2506.81,2233.53,2782.9,2549.55,2549.55,2549.55,2010,11,549.38,0.22,LOW,60.5
2010-12-01,2449.59,2124.78,2737.09,2568.1,2568.1,2568.1,2010,12,612.31,0.25,LOW,59.12
2011-01-01,2473.75,2186.17,2782.59,2587.27,2587.27,2587.27,2011,1,596.42,0.24,LOW,59.7
2011-02-01,2295.09,1998.7,2592.84,2606.44,2606.44,2606.44,2011,2,594.15,0.26,LOW,55.39
2011-03-01,2436.83,2145.81,2728.03,2623.75,2623.75,2623.75,2011,3,582.22,0.24,LOW,58.81
2011-04-01,2420.24,2116.08,2700.21,2642.92,2642.92,2642.92,2011,4,584.13,0.24,LOW,58.41
2011-05-01,2645.24,2373.23,2939.22,2661.47,2661.47,2661.47,2011,5,565.99,0.21,LOW,63.84
2011-06-01,2784.38,2462.37,3093.65,2680.64,2680.64,2680.64,2011,6,631.28,0.23,MEDIUM,67.2
2011-07-01,2822.58,2525.01,3109.85,2699.19,2699.19,2699.19,2011,7,584.84,0.21,MEDIUM,68.12
2011-08-01,2872.91,2586.83,3163.51,2718.36,2718.36,2718.36,2011,8,576.67,0.2,MEDIUM,69.34
2011-09-01,2721.21,2437.78,3009.95,2737.53,2737.53,2737.53,2011,9,572.16,0.21,MEDIUM,65.67
2011-10-01,2888.59,2608.53,3184.03,2756.08,2756.08,2756.08,2011,10,575.5,0.2,MEDIUM,69.71
2011-11-01,2706.39,2402.39,2993.77,2775.25,2775.25,2775.25,2011,11,591.37,0.22,MEDIUM,65.32
2011-12-01,2707.89,2403.51,2982.29,2793.8,2793.8,2793.8,2011,12,578.77,0.21,MEDIUM,65.35
2011-12-31,2790.49,2481.22,3079.47,2812.35,2811.58,2813.39,2011,12,598.25,0.21,MEDIUM,67.35
2012-01-31,2858.37,2560.63,3141.83,2831.52,2828.87,2835.08,2012,1,581.2,0.2,MEDIUM,68.98
2012-02-29,2586.4,2300.73,2865.86,2849.45,2844.62,2855.75,2012,2,565.12,0.22,LOW,62.42
2012-03-31,2598.37,2302.25,2888.69,2868.62,2860.0,2878.3,2012,3,586.44,0.23,LOW,62.71
2012-04-30,2864.8,2566.11,3152.03,2887.17,2874.62,2900.24,2012,4,585.92,0.2,MEDIUM,69.14
2012-05-31,3072.89,2782.02,3363.37,2906.34,2889.42,2924.28,2012,5,581.34,0.19,MEDIUM,74.16
2012-06-30,3097.34,2792.34,3367.98,2924.89,2903.99,2947.95,2012,6,575.64,0.19,MEDIUM,74.75
2012-07-31,3080.8,2787.73,3376.36,2944.06,2917.37,2972.41,2012,7,588.62,0.19,MEDIUM,74.35
2012-08-31,2885.63,2588.02,3186.58,2963.23,2930.52,2997.93,2012,8,598.55,0.21,MEDIUM,69.64
2012-09-30,3119.52,2831.57,3420.82,2981.78,2943.45,3024.08,2012,9,589.25,0.19,MEDIUM,75.29
2012-10-31,2906.95,2606.54,3174.29,3000.94,2955.54,3049.88,2012,10,567.75,0.2,MEDIUM,70.16
2012-11-30,2967.12,2681.26,3291.33,3019.5,2966.26,3072.08,2012,11,610.06,0.21,MEDIUM,71.61
2012-12-31,2961.27,2686.08,3246.09,3038.66,2977.4,3099.51,2012,12,560.01,0.19,MEDIUM,71.47
2013-01-31,2886.31,2590.59,3190.63,3057.83,2988.73,3127.46,2013,1,600.04,0.21,MEDIUM,69.66
2013-02-28,2734.6,2426.71,3025.37,3075.15,2999.82,3154.25,2013,2,598.66,0.22,MEDIUM,66.0
2013-03-31,2777.65,2492.76,3058.12,3094.32,3012.8,3182.49,2013,3,565.36,0.2,MEDIUM,67.04
2013-04-30,3086.48,2774.54,3392.52,3112.87,3025.2,3209.23,2013,4,617.98,0.2,MEDIUM,74.49
2013-05-31,3362.39,3041.79,3654.96,3132.04,3037.46,3236.69,2013,5,613.18,0.18,HIGH,81.15
2013-06-30,3370.58,3040.55,3655.31,3150.59,3045.69,3263.48,2013,6,614.76,0.18,HIGH,81.35
2013-07-31,3286.63,2935.18,3586.57,3169.76,3055.88,3291.11,2013,7,651.39,0.2,HIGH,79.32
2013-08-31,3049.93,2746.87,3371.16,3188.92,3066.07,3318.86,2013,8,624.3,0.2,MEDIUM,73.61
2013-09-30,3351.14,3026.19,3678.99,3207.47,3076.68,3346.34,2013,9,652.81,0.19,HIGH,80.88
2013-10-31,3108.49,2793.27,3423.89,3226.64,3086.63,3372.93,2013,10,630.61,0.2,MEDIUM,75.02
2013-11-30,3227.26,2890.95,3536.79,3245.19,3096.46,3399.27,2013,11,645.84,0.2,MEDIUM,77.89
